Internal ID,External ID,Source
rxn00371,YPL276W,BiGG
rxn00372,FCOAH2,BiGG
rxn00373,OXADC,BiGG
rxn00374,FORAMD,BiGG
rxn00375,NFORGLUAH,BiGG
rxn00377,SFGTH,BiGG
rxn00377,SFGTHi,BiGG
rxn00377,YJL068C,BiGG
rxn00379,MET3,BiGG
rxn00379,SADT,BiGG
rxn00379,SADT1r,BiGG
rxn00380,APA1_3,BiGG
rxn00380,SLFAT,BiGG
rxn00391,ACP1(FMN),BiGG
rxn00391,ACP1_FMN,BiGG
rxn00391,ACP1_FMN_,BiGG
rxn00391,ACP1e,BiGG
rxn00391,PHO11,BiGG
rxn00392,FMN1_1,BiGG
rxn00392,FMN1_2,BiGG
rxn00392,RBFK,BiGG
rxn00392,RBFKm,BiGG
rxn00395,ARGD,BiGG
rxn00395,ARGDE,BiGG
rxn00395,ARGDr,BiGG
rxn00396,ARGKr,BiGG
rxn00403,NOPD,BiGG
rxn00405,ARGDC,BiGG
rxn00405,ARGDCpp,BiGG
rxn00407,DCTPD2,BiGG
rxn00408,NTP5,BiGG
rxn00409,NDPK3,BiGG
rxn00409,YNK1_2,BiGG
rxn00410,CTPS1,BiGG
rxn00410,URA7_2,BiGG
rxn00410,URA8_2,BiGG
rxn00412,CTPS2,BiGG
rxn00412,URA7_1,BiGG
rxn00412,URA8_1,BiGG
rxn00414,CBPS,BiGG
rxn00414,CBPSn,BiGG
rxn00416,ASN1,BiGG
rxn00416,ASN2,BiGG
rxn00416,ASNS1,BiGG
rxn00418,SERAS,BiGG
rxn00418,SERASr,BiGG
rxn00420,PSP_L,BiGG
rxn00420,PSP_Lpp,BiGG
rxn00420,SER2,BiGG
rxn00422,SPA,BiGG
rxn00423,SERAT,BiGG
rxn00423,SERATi,BiGG
rxn00423,U48,BiGG
rxn00427,PRDX,BiGG
rxn00429,ALDD1,BiGG
rxn00429,ALDD1x,BiGG
rxn00433,SARCO,BiGG
rxn00433,SARCOX,BiGG
rxn00436,TDP,BiGG
rxn00437,THI80_2,BiGG
rxn00437,TMDPPK,BiGG
rxn00438,TMPK,BiGG
rxn00438,TMPKr,BiGG
rxn00438,U76,BiGG
rxn00440,THI80_1,BiGG
rxn00440,TMDPK,BiGG
rxn00442,OXGDC2,BiGG
rxn00452,HCYSMT,BiGG
rxn00452,MHT1,BiGG
rxn00452,SAM4,BiGG
rxn00453,AHSERL,BiGG
rxn00453,MET17_1,BiGG
rxn00455,FMETDF,BiGG
rxn00456,METGL,BiGG
rxn00459,ENO,BiGG
rxn00459,ENO1,BiGG
rxn00459,ENO2,BiGG
rxn00459,ERR1_1,BiGG
rxn00459,ERR1_2,BiGG
rxn00459,ERR2,BiGG
