#source,ID
bigg.reaction:R_EX_gd1c_cho_e,MNXR100082
bigg.reaction:R_GD1Cte_cho,MNXR100082
bigg.reaction:R_GD1Ctg_cho,MNXR100082
bigg.reaction:GDBTALDH,MNXR100083
bigg.reaction:R_GDBTALDH,MNXR100083
bigg.reaction:EX_gdchola_e,MNXR100084
bigg.reaction:GDCHOLAte,MNXR100084
bigg.reaction:GDCHOLAtx,MNXR100084
bigg.reaction:R_EX_gdchola_e,MNXR100084
bigg.reaction:R_GDCHOLAte,MNXR100084
bigg.reaction:R_GDCHOLAtx,MNXR100084
bigg.reaction:GDH_nadp,MNXR100086
bigg.reaction:GLUDy,MNXR100086
bigg.reaction:GLUDy_1,MNXR100086
bigg.reaction:GLUDym,MNXR100086
bigg.reaction:R_GDH_nadp,MNXR100086
bigg.reaction:R_GLUDy,MNXR100086
bigg.reaction:R_GLUDy_1,MNXR100086
bigg.reaction:R_GLUDym,MNXR100086
bigg.reaction:GDPFUCtg,MNXR100089
bigg.reaction:R_GDPFUCtg,MNXR100089
bigg.reaction:GDPMT,MNXR100093
bigg.reaction:R_GDPMT,MNXR100093
bigg.reaction:GDR,MNXR100097
bigg.reaction:GDRh,MNXR100097
bigg.reaction:GDRm,MNXR100097
bigg.reaction:R_GDR,MNXR100097
bigg.reaction:R_GDRh,MNXR100097
bigg.reaction:R_GDRm,MNXR100097
bigg.reaction:GDR_nadp_h,MNXR100098
bigg.reaction:GTHOm,MNXR100098
bigg.reaction:GTHOr,MNXR100098
bigg.reaction:R_GDR_nadp_h,MNXR100098
bigg.reaction:R_GTHOm,MNXR100098
bigg.reaction:R_GTHOr,MNXR100098
bigg.reaction:GDTP,MNXR100099
bigg.reaction:GTPDPDP,MNXR100099
bigg.reaction:R_GDTP,MNXR100099
bigg.reaction:R_GTPDPDP,MNXR100099
bigg.reaction:GGCHLDBR,MNXR100110
bigg.reaction:R_GGCHLDBR,MNXR100110
bigg.reaction:GGDPtu,MNXR100112
bigg.reaction:R_GGDPtu,MNXR100112
bigg.reaction:GGGABADr,MNXR100113
bigg.reaction:R_GGGABADr,MNXR100113
bigg.reaction:GGGABAH,MNXR100114
bigg.reaction:R_GGGABAH,MNXR100114
bigg.reaction:GGGPS,MNXR100116
bigg.reaction:R_GGGPS,MNXR100116
bigg.reaction:GGH_10FTHF5GLUe,MNXR100117
bigg.reaction:GGH_10FTHF5GLUl,MNXR100117
bigg.reaction:R_GGH_10FTHF5GLUe,MNXR100117
bigg.reaction:R_GGH_10FTHF5GLUl,MNXR100117
bigg.reaction:GGH_10FTHF6GLUe,MNXR100118
bigg.reaction:GGH_10FTHF6GLUl,MNXR100118
bigg.reaction:R_GGH_10FTHF6GLUe,MNXR100118
bigg.reaction:R_GGH_10FTHF6GLUl,MNXR100118
bigg.reaction:GGH_10FTHF7GLUe,MNXR100119
