Internal ID,External ID,Source
MNXM1091843,3htdACP,BiGG
MNXM1091844,3htdacp,BiGG
MNXM1091845,3htdccoa,BiGG
MNXM1091846,3httccoa,BiGG
MNXM1091847,3hvacccoa,BiGG
MNXM1091848,3hvcoa,BiGG
MNXM1091849,3hvegACP,BiGG
MNXM1091850,3ispvs,BiGG
MNXM1091851,3kvcoa,BiGG
MNXM1091852,3m1hbtpp,BiGG
MNXM1091853,3mba,BiGG
MNXM1091854,3mbal,BiGG
MNXM1091855,3mbutdhla,BiGG
MNXM1091856,3meacmp,BiGG
MNXM1091857,3mehacp,BiGG
MNXM1091858,3npdhb,BiGG
MNXM1091859,3nphb,BiGG
MNXM1091860,3o6athcoa,BiGG
MNXM1091861,3od69coa,BiGG
MNXM1091862,3od6coa,BiGG
MNXM1091863,3odc69coa,BiGG
MNXM1091864,3odc6coa,BiGG
MNXM1091865,3odc7coa,BiGG
MNXM1091866,3odcos710131619coa,BiGG
MNXM1091867,3odd5811coa,BiGG
MNXM1091868,3odd58coa,BiGG
MNXM1091869,3odd5coa,BiGG
MNXM1091870,3odd5coc,BiGG
MNXM1091871,3odd6coa,BiGG
MNXM1091872,3oddccoa,BiGG
MNXM1091873,3odec4coa,BiGG
MNXM1091874,3odocoscoa,BiGG
MNXM1091875,3oeico58111417coa,BiGG
MNXM1091876,3oeico581114coa,BiGG
MNXM1091877,3oeicoscoa,BiGG
MNXM1091878,3oh5coa,BiGG
MNXM1091879,3ohacmp,BiGG
MNXM1091880,3ohd58coa,BiGG
MNXM1091881,3ohd691215coa,BiGG
MNXM1091882,3ohd6912coa,BiGG
MNXM1091883,3ohd71013coa,BiGG
MNXM1091884,3ohd710coa,BiGG
MNXM1091885,3ohd7coa,BiGG
MNXM1091886,3ohd912coa,BiGG
MNXM1091887,3ohd9coa,BiGG
MNXM1091888,3ohdccoa,BiGG
MNXM1091889,3ohdd4coa,BiGG
MNXM1091890,3ohdd7coa,BiGG
MNXM1091891,3ohpcoa,BiGG
MNXM1091892,3olnlccoa,BiGG
MNXM1091893,3ononacoa,BiGG
MNXM1091894,3ooc5coa,BiGG
MNXM1091895,3ooc7coa,BiGG
MNXM1091896,3ood691215coa,BiGG
MNXM1091897,3ood6912coa,BiGG
MNXM1091898,3ood91215coa,BiGG
MNXM1091899,3ood912coa,BiGG
MNXM1091900,3ood9coa,BiGG
MNXM1091901,3oodACP,BiGG
MNXM1091902,3oodecoa,BiGG
MNXM1091903,3opbcoa,BiGG
MNXM1091904,3opdecacoa,BiGG
MNXM1091905,3ophpcoa,BiGG
MNXM1091906,3ophxacoa,BiGG
MNXM1091907,3opnonacoa,BiGG
MNXM1091908,3opoctacoa,BiGG
MNXM1091909,3opptcoa,BiGG
MNXM1091910,3optslacoa,BiGG
MNXM1091911,3otd5811coa,BiGG
MNXM1091912,3otd58coa,BiGG
MNXM1091913,3otd5coa,BiGG
MNXM1091914,3otd71013coa,BiGG
MNXM1091915,3otd710coa,BiGG
MNXM1091916,3otd7coa,BiGG
MNXM1091917,3otdccoa,BiGG
MNXM1091918,3ottccoa,BiGG
MNXM1091919,3ovacccoa,BiGG
MNXM1091920,3ovegACP,BiGG
MNXM1091921,3oxddACP,BiGG
MNXM1091922,3oxddacp,BiGG
MNXM1091923,3oxdeACP,BiGG
MNXM1091924,3oxdeacp,BiGG
MNXM1091925,3oxhACP,BiGG
MNXM1091926,3oxhacp,BiGG
MNXM1091927,3oxhdACP,BiGG
MNXM1091928,3oxhdacp,BiGG
MNXM1091929,3oxocACP,BiGG
MNXM1091930,3oxocacp,BiGG
MNXM1091931,3oxocdacp,BiGG
MNXM1091932,3oxptcoa,BiGG
MNXM1091933,3oxtdACP,BiGG
MNXM1091934,3oxtdacp,BiGG
MNXM1091935,3pqq,BiGG
MNXM1091936,3ptcoa,BiGG
MNXM1091937,3tetd7ecoacrn,BiGG
MNXM1091938,3thexddcoacrn,BiGG
MNXM1091939,3ttetddcoacrn,BiGG
