#source,ID
bigg.metabolite:3htd7coa,MNXM1091842
bigg.metabolite:3htdACP,MNXM1091843
bigg.metabolite:3htdacp,MNXM1091844
bigg.metabolite:3htdccoa,MNXM1091845
bigg.metabolite:3httccoa,MNXM1091846
bigg.metabolite:3hvacccoa,MNXM1091847
bigg.metabolite:3hvcoa,MNXM1091848
bigg.metabolite:3hvegACP,MNXM1091849
bigg.metabolite:3ispvs,MNXM1091850
bigg.metabolite:3kvcoa,MNXM1091851
bigg.metabolite:3m1hbtpp,MNXM1091852
bigg.metabolite:3mba,MNXM1091853
bigg.metabolite:3mbal,MNXM1091854
bigg.metabolite:3mbutdhla,MNXM1091855
bigg.metabolite:3meacmp,MNXM1091856
bigg.metabolite:3mehacp,MNXM1091857
bigg.metabolite:3npdhb,MNXM1091858
bigg.metabolite:3nphb,MNXM1091859
bigg.metabolite:3o6athcoa,MNXM1091860
bigg.metabolite:3od69coa,MNXM1091861
bigg.metabolite:3od6coa,MNXM1091862
bigg.metabolite:3odc69coa,MNXM1091863
bigg.metabolite:3odc6coa,MNXM1091864
bigg.metabolite:3odc7coa,MNXM1091865
bigg.metabolite:3odcos710131619coa,MNXM1091866
bigg.metabolite:3odd5811coa,MNXM1091867
bigg.metabolite:3odd58coa,MNXM1091868
bigg.metabolite:3odd5coa,MNXM1091869
bigg.metabolite:3odd5coc,MNXM1091870
bigg.metabolite:3odd6coa,MNXM1091871
bigg.metabolite:3oddccoa,MNXM1091872
bigg.metabolite:3odec4coa,MNXM1091873
bigg.metabolite:3odocoscoa,MNXM1091874
bigg.metabolite:3oeico58111417coa,MNXM1091875
bigg.metabolite:3oeico581114coa,MNXM1091876
bigg.metabolite:3oeicoscoa,MNXM1091877
bigg.metabolite:3oh5coa,MNXM1091878
bigg.metabolite:3ohacmp,MNXM1091879
bigg.metabolite:3ohd58coa,MNXM1091880
bigg.metabolite:3ohd691215coa,MNXM1091881
bigg.metabolite:3ohd6912coa,MNXM1091882
bigg.metabolite:3ohd71013coa,MNXM1091883
bigg.metabolite:3ohd710coa,MNXM1091884
bigg.metabolite:3ohd7coa,MNXM1091885
bigg.metabolite:3ohd912coa,MNXM1091886
bigg.metabolite:3ohd9coa,MNXM1091887
bigg.metabolite:3ohdccoa,MNXM1091888
bigg.metabolite:3ohdd4coa,MNXM1091889
bigg.metabolite:3ohdd7coa,MNXM1091890
bigg.metabolite:3ohpcoa,MNXM1091891
bigg.metabolite:3olnlccoa,MNXM1091892
bigg.metabolite:3ononacoa,MNXM1091893
bigg.metabolite:3ooc5coa,MNXM1091894
bigg.metabolite:3ooc7coa,MNXM1091895
bigg.metabolite:3ood691215coa,MNXM1091896
bigg.metabolite:3ood6912coa,MNXM1091897
bigg.metabolite:3ood91215coa,MNXM1091898
bigg.metabolite:3ood912coa,MNXM1091899
bigg.metabolite:3ood9coa,MNXM1091900
bigg.metabolite:3oodACP,MNXM1091901
bigg.metabolite:3oodecoa,MNXM1091902
bigg.metabolite:3opbcoa,MNXM1091903
bigg.metabolite:3opdecacoa,MNXM1091904
bigg.metabolite:3ophpcoa,MNXM1091905
bigg.metabolite:3ophxacoa,MNXM1091906
bigg.metabolite:3opnonacoa,MNXM1091907
bigg.metabolite:3opoctacoa,MNXM1091908
bigg.metabolite:3opptcoa,MNXM1091909
bigg.metabolite:3optslacoa,MNXM1091910
bigg.metabolite:3otd5811coa,MNXM1091911
bigg.metabolite:3otd58coa,MNXM1091912
bigg.metabolite:3otd5coa,MNXM1091913
bigg.metabolite:3otd71013coa,MNXM1091914
bigg.metabolite:3otd710coa,MNXM1091915
bigg.metabolite:3otd7coa,MNXM1091916
bigg.metabolite:3otdccoa,MNXM1091917
bigg.metabolite:3ottccoa,MNXM1091918
bigg.metabolite:3ovacccoa,MNXM1091919
bigg.metabolite:3ovegACP,MNXM1091920
bigg.metabolite:3oxddACP,MNXM1091921
bigg.metabolite:3oxddacp,MNXM1091922
bigg.metabolite:3oxdeACP,MNXM1091923
bigg.metabolite:3oxdeacp,MNXM1091924
bigg.metabolite:3oxhACP,MNXM1091925
bigg.metabolite:3oxhacp,MNXM1091926
bigg.metabolite:3oxhdACP,MNXM1091927
bigg.metabolite:3oxhdacp,MNXM1091928
bigg.metabolite:3oxocACP,MNXM1091929
